"index","county","report","offense","action","year","value"
"3","Amador","Actions","Felony","Removed from Probation",2009,366
"3","Amador","Actions","Felony","Terminated",2009,160
"3","Amador","Actions","Felony","Revoked",2009,206
"3","Amador","Actions","Felony","Other",2009,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2009,357
"3","Amador","Actions","Misdemeanor","Removed from Probation",2009,672
"3","Amador","Actions","Misdemeanor","Terminated",2009,567
"3","Amador","Actions","Misdemeanor","Revoked",2009,105
"3","Amador","Actions","Misdemeanor","Other",2009,0
"3","Amador","Caseload","Total",NA,2010,711
"3","Amador","Caseload","Felony",NA,2010,219
"3","Amador","Caseload","Misdemeanor",NA,2010,492
"3","Amador","Actions","Total","Placed on Probation",2010,715
"3","Amador","Actions","Total","Removed from Probation",2010,923
"3","Amador","Actions","Total","Terminated",2010,658
"3","Amador","Actions","Total","Revoked",2010,265
"3","Amador","Actions","Total","Other",2010,0
"3","Amador","Actions","Felony","Placed on Probation",2010,238
"3","Amador","Actions","Felony","Removed from Probation",2010,320
"3","Amador","Actions","Felony","Terminated",2010,171
"3","Amador","Actions","Felony","Revoked",2010,149
"3","Amador","Actions","Felony","Other",2010,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2010,477
"3","Amador","Actions","Misdemeanor","Removed from Probation",2010,603
"3","Amador","Actions","Misdemeanor","Terminated",2010,487
"3","Amador","Actions","Misdemeanor","Revoked",2010,116
"3","Amador","Actions","Misdemeanor","Other",2010,0
"3","Amador","Caseload","Total",NA,2011,467
"3","Amador","Caseload","Felony",NA,2011,89
"3","Amador","Caseload","Misdemeanor",NA,2011,378
"3","Amador","Actions","Total","Placed on Probation",2011,672
"3","Amador","Actions","Total","Removed from Probation",2011,916
"3","Amador","Actions","Total","Terminated",2011,675
"3","Amador","Actions","Total","Revoked",2011,241
"3","Amador","Actions","Total","Other",2011,0
"3","Amador","Actions","Felony","Placed on Probation",2011,215
"3","Amador","Actions","Felony","Removed from Probation",2011,345
"3","Amador","Actions","Felony","Terminated",2011,201
"3","Amador","Actions","Felony","Revoked",2011,144
"3","Amador","Actions","Felony","Other",2011,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2011,457
"3","Amador","Actions","Misdemeanor","Removed from Probation",2011,571
"3","Amador","Actions","Misdemeanor","Terminated",2011,474
"3","Amador","Actions","Misdemeanor","Revoked",2011,97
"3","Amador","Actions","Misdemeanor","Other",2011,0
"3","Amador","Caseload","Total",NA,2012,1365
"3","Amador","Caseload","Felony",NA,2012,318
"3","Amador","Caseload","Misdemeanor",NA,2012,1047
"3","Amador","Actions","Total","Placed on Probation",2012,568
"3","Amador","Actions","Total","Removed from Probation",2012,625
"3","Amador","Actions","Total","Terminated",2012,481
"3","Amador","Actions","Total","Revoked",2012,144
"3","Amador","Actions","Total","Other",2012,0
"3","Amador","Actions","Felony","Placed on Probation",2012,215
"3","Amador","Actions","Felony","Removed from Probation",2012,288
"3","Amador","Actions","Felony","Terminated",2012,168
"3","Amador","Actions","Felony","Revoked",2012,120
"3","Amador","Actions","Felony","Other",2012,0
"3","Amador","Actions","Misdemeanor","Placed on Probation",2012,353
"3","Amador","Actions","Misdemeanor","Removed from Probation",2012,337
"3","Amador","Actions","Misdemeanor","Terminated",2012,313
"3","Amador","Actions","Misdemeanor","Revoked",2012,24
"3","Amador","Actions","Misdemeanor","Other",2012,0
"3","Amador","Caseload","Total",NA,2013,1375
